,Fullname,IsCenter,ID
150,广东广晟有色金属进出口有限公司,False,150
151,广东广晟有色金属集团有限公司,False,151
152,东江环保股份有限公司,False,152
153,华日轻金(深圳)有限公司,False,153
154,佛山电器照明股份有限公司,False,154
155,深圳市华加日金属制品有限公司,False,155
156,广东省广晟控股集团有限公司,False,156
157,宜化集团及其子公司,False,157
158,湖北大江化工集团有限公司及其子公司,False,158
159,内蒙古华电乌达热电有限公司,False,159
160,北京德锦供氢科技有限公司,False,160
161,北京璞锦科技有限公司,False,161
162,新汽有限公司,False,162
163,清徐县宏锦泉供水有限公司,False,163
164,山西美锦能源集团能源开发有限公司,False,164
165,鸿基创能科技(广州)有限公司,False,165
166,建华建材(山西)有限公司,False,166
167,山西隆辉煤气化有限公司,False,167
168,山西美锦钢铁有限公司及其关联方,False,168
169,美锦能源集团有限公司,False,169
170,山西晋美能源科技有限公司及其关联方,False,170
171,山西晋煤铁路物流有限公司,False,171
172,唐山唐钢美锦物流有限公司,False,172
173,山西美锦矿业投资管理有限公司,False,173
174,清徐泓博污水处理有限公司,False,174
175,北京奕为汽车科技有限公司,False,175
176,姚锦丽,False,176
177,上海翼迅创能新能源科技有限公司,False,177
178,山西五星水泥有限公司,False,178
179,山西昕锦轩玻璃制品有限公司,False,179
180,山西省美锦醋业股份有限公司,False,180
181,山西省美和居老陈醋有限公司,False,181
182,山西瑞赛科环保科技有限公司,False,182
183,山西坤盛源新型材料有限公司,False,183
184,山西国锦煤电有限公司,False,184
185,山西美锦再生资源有限公司,False,185
186,山西中科矿渣微粉制品有限公司,False,186
187,广东英农食品有限公司,False,187
188,江苏美思德化学股份有限公司,False,188
189,辽宁奥克化学股份有限公司(含控股子公司),False,189
190,佛山德盛天林股权投资合伙企业(有限合伙),False,190
191,佛山市顺德区德伟创科技有限公司,False,191
192,广东顺德农村商业银行股份有限公司,False,192
193,佛山市顺德区德和恒信投资管理有限公司,False,193
194,公司控股股东西北有色金属研究院及其控制的其他公司,False,194
195,西安西部新锆科技股份有限公司,False,195
196,西北有色金属研究及其控股子公司,False,196
197,贵州华金矿业有限公司,False,197
198,比亚迪及其子公司,False,198
199,淄博齐翔资产经营管理有限公司,False,199
200,天辰齐翔新材料有限公司,False,200
201,淄博新齐翔工业设备安装工程有限公司,False,201
202,Wechem international GMBH,False,202
203,Graphite Management Pte Ltd,False,203
204,三亚四季海庭酒店有限公司,False,204
205,河北雄安寨里混凝土有限公司,False,205
206,三亚瑞兴盛典旅游文化有限公司,False,206
207,三亚市海棠湾水稻国家公园开发有限公司,False,207
208,三亚玛瑞纳酒店有限公司,False,208
209,沈阳有色冶金设计研究有限公司,False,209
210,中国有色桂林矿产地质研究院有限公司,False,210
211,铁岭选矿药剂有限公司,False,211
212,赤峰富邦铜业有限责任公司,False,212
213,中国有色集团抚顺红透山矿业有限公司,False,213
214,中国有色集团刚果矿业有限公司,False,214
215,谦比希铜冶炼有限公司,False,215
216,中国瑞林工程技术股份有限公司,False,216
217,中色国际贸易有限公司,False,217
218,中国十五冶金建设集团有限公司,False,218
219,湖北金格实业发展有限公司,False,219
220,湖北中色矿山工程技术有限公司,False,220
221,科万古普有限责任公司,False,221
222,鑫诚建设监理咨询有限公司,False,222
223,东北大学设计研究院(有限公司),False,223
224,十五冶建筑工程(印尼)有限公司,False,224
225,中色非洲矿业有限公司,False,225
226,中色华鑫湿法冶炼股份有限公司,False,226
227,中色发展投资有限公司,False,227
228,赞比亚中国经济贸易合作区发展有限公司,False,228
229,赞比亚谦比希湿法冶炼有限公司,False,229
230,中色卢安夏铜业有限公司,False,230
231,中色华鑫马本德矿业股份有限公司,False,231
232,江苏美诗整体家居有限公司,False,232
233,大亚整装智慧家居(福建)有限公司,False,233
234,江苏合雅木门有限公司,False,234
235,江苏大亚新型包装材料有限公司,False,235
236,福建鲲鹏供应链管理有限公司,False,236
237,江苏大亚滤嘴材料有限公司,False,237
238,江苏大亚家居有限公司,False,238
239,大亚车轮制造有限公司,False,239
240,江苏大亚家具有限公司,False,240
241,大亚智慧家居(江苏)有限公司及其子公司,False,241
242,大亚科技集团有限公司,False,242
243,永兴特种材料科技股份有限公司,False,243
244,湖州久立不锈钢材料有限公司,False,244
245,浙江省兴合集团有限责任公司及其下属企业,False,245
246,浙江省台州市农资股份有限公司,False,246
247,赤峰三方农业科技有限公司,False,247
248,金华苗知地知农业科技有限公司,False,248
249,安徽盐湖辉隆南方贸易有限公司,False,249
250,广西富岛农业生产资料有限公司,False,250
251,日本石原产业株式会社,False,251
252,山西沃锦新材料股份有限公司,False,252
253,山西常晟贸易有限公司,False,253
254,绍兴市上虞区惠多利农资有限公司,False,254
255,灵谷化工集团有限公司,False,255
256,贵州保久安防集团有限公司,False,256
257,保利民爆科技集团股份有限公司,False,257
258,保利久联控股集团有限责任公司,False,258
259,有色控股及其所属公司,False,259
260,铜陵金山油品有限责任公司,False,260
261,铜陵铜冠环保科技有限公司,False,261
262,安徽铜冠有色金属(池州)有限责任公司,False,262
263,铜陵有色金属集团铜冠建筑安装股份限公司,False,263
264,铜陵有色金属集团铜冠物资有限公司,False,264
265,EcuaCorriente S.A.,False,265
266,铜陵有色金属集团铜冠矿山建设股份有限公司,False,266
267,中粮集团有限公司下属单位,False,267
268,财务公司,False,268
269,冀中能源邯郸矿业集团有限公司,False,269
270,冀中能源峰峰集团有限公司,False,270
271,冀中能源邢台矿业集团有限责任公司,False,271
272,冀中能源机械装备集团有限公司,False,272
273,邢台章泰矿业有限公司,False,273
274,冀中能源张家口矿业集团有限公司,False,274
275,冀中能源集团金牛贸易有限公司,False,275
276,冀中能源集团有限责任公司,False,276
277,河北物流集团金属材料有限公司,False,277
278,河北充填采矿技术有限公司,False,278
279,邢台德旺矿业有限公司,False,279
280,华药集团,False,280
281,华北医疗健康产业集团有限公司,False,281
282,邯郸市陶一矿业有限公司,False,282
283,井矿集团,False,283
284,华北制药股份有限公司,False,284
285,邢台金隅咏宁水泥有限公司,False,285
286,揭阳酒店,False,286
287,山东万国太阳食品包装材料有限公司,False,287
288,广西太阳纸业纸板有限公司,False,288
289,山东国际纸业太阳纸板有限公司,False,289
290,万国纸业太阳白卡纸有限公司,False,290
291,山东圣德国际酒店有限公司,False,291
292,兵工财务有限责任公司,False,292
293,四川久远化工技术有限公司,False,293
294,浙江荣盛控股集团有限公司,False,294
295,SaudiArabian Oil Company,False,295
296,浙江逸盛石化有限公司,False,296
297,中粮包装控股有限公司,False,297
298,海南金色阳光酒业有限公司,False,298
299,北京澳华阳光酒业有限公司,False,299
300,快捷健电子商务有限公司,False,300
301,上海汇茂融资租赁有限公司,False,301
302,江苏沃田集团股份有限公司,False,302
303,上海犀旺饮料有限公司,False,303
304,元阳(上海)食品有限公司,False,304
305,北京金隅集团股份有限公司及下属公司,False,305
306,察哈尔右翼前旗博海矿业有限公司,False,306
307,太原钢铁(集团)有限公司,False,307
308,太钢集团部分子公司,False,308
309,宝武集团部分子公司,False,309
310,山西新钢联金属材料发展有限公司,False,310
311,山西太钢哈斯科科技有限公司,False,311
312,山西宝太新金属开发有限公司,False,312
313,宝武水务科技股份有限公司,False,313
314,上海宝信软件股份有限公司,False,314
315,山西太钢工程技术有限公司,False,315
316,山西阿克斯太钢轧辊有限公司,False,316
317,欧冶工业品股份有限公司,False,317
318,宝钢德盛不锈钢有限公司,False,318
319,欧冶链金再生资源有限公司,False,319
320,宁波宝新不锈钢有限公司,False,320
321,欧冶云商股份有限公司,False,321
322,马钢(集团)控股有限公司,False,322
323,太原钢铁(集团)林德气体有限公司,False,323
324,烟台鲁宝钢管有限责任公司,False,324
325,太原重工轨道交通设备有限公司,False,325
326,晋能控股装备制造集团有限公司,False,326
327,华新燃气集团有限公司,False,327
328,景德镇市焦化能源有限公司,False,328
329,乌海时联环保科技有限责任公司,False,329
330,山东时联黑猫新材料有限公司,False,330
331,黑猫集团下属其他关联方,False,331
332,江西开门子肥业股份有限公司,False,332
